Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
816.006,530.50325,1316.04475,1943.8559166666666,1976.3514166666666,2211.2148333333334,1434.7967500000002,1112.1315,1027.52475,1205.4551666666666,884.0489166666666,490.4171666666667
908.9908333333333,783.9359166666667,1296.9714166666665,1956.4004166666666,2087.4396666666667,1624.1673333333335,1105.5370833333334,851.6704166666667,1117.62175,1089.4866666666667,1063.7395,529.5035
515.5516666666666,939.6797499999999,1385.3080833333333,2300.1658333333335,2007.2185833333333,2622.9651666666664,1299.24,819.3580000000001,895.46375,880.9722499999999,866.1643333333333,626.2596666666667
521.9876666666667,594.84425,1473.14625,2472.664,2260.3250000000003,2298.278083333333,1339.80125,854.2003333333333,816.692,1286.0036666666667,742.8866666666667,560.9549166666667
614.6343333333333,377.44350000000003,1800.0330833333335,2589.5626666666667,3112.393,2167.3535833333335,1622.8435,546.4809166666666,593.25475,1106.12825,1051.5115833333334,743.7814166666667
677.947,576.4643333333333,1411.8898333333334,2692.1074166666667,3304.45675,2901.2138333333332,2134.1167499999997,768.1630833333334,1011.9653333333334,1071.4915833333332,778.1284999999999,732.41025
618.7520000000001,412.28950000000003,953.9453333333335,1405.2104166666668,3235.727666666666,2667.2443333333335,2145.7945,1206.9979166666667,1017.2673333333333,1272.3684166666667,568.7111666666667,710.136
394.6085,642.0606666666666,1342.6965833333331,1861.0761666666667,2991.3307500000005,2442.2983333333336,2069.6749999999997,1271.9958333333334,862.0973333333333,1009.6885000000001,631.3168333333333,641.7201666666666
359.6713333333333,738.4654166666668,1161.1160833333333,1877.9201666666668,3467.7370833333334,2304.7245,1268.364,1248.553,950.4567499999999,664.3349166666667,690.9426666666667,613.0174166666667
355.66183333333333,735.98425,1600.6749166666666,2439.7636666666667,3026.4524166666665,1867.0204999999999,1774.7446666666667,1041.8573333333334,1067.5159166666665,882.7512499999999,721.0708333333333,569.5305833333333
382.16766666666666,519.2134166666666,1573.9333333333334,2524.8079166666666,2140.266416666667,2914.1480833333335,1615.3829166666667,944.41225,1092.008,1015.5608333333333,582.7316666666667,566.5514166666667
412.402,706.5860833333332,1807.9575833333336,1984.91625,1869.8029166666665,3259.6512500000003,1522.0584166666667,804.8250833333333,898.9626666666667,937.8405833333333,645.727,788.1464166666666
591.3271666666667,706.6256666666667,1480.1041666666667,2588.0560833333334,2691.1751666666664,3087.4914166666663,1543.6628333333335,355.6679166666667,962.2545,1228.0365,660.4484166666667,742.14125
508.5340833333333,790.0558333333333,1449.8149166666665,2322.877916666667,2939.0520833333335,2079.984916666667,1700.1905833333333,992.2107500000001,956.3254166666667,887.5246666666667,639.8895833333333,953.0630833333333
341.29966666666667,541.7371666666667,1785.50775,2697.6238333333336,2538.0030833333335,2353.58025,1336.6019166666667,813.2035833333334,995.7969166666667,730.94275,1022.3818333333334,570.9593333333333
386.24583333333334,584.6434166666667,2392.6763333333333,2919.77525,2994.556416666667,2044.62525,1534.233,1170.0330833333335,1355.0363333333332,812.9196666666667,680.0824166666666,453.2308333333333
457.2126666666666,979.9354166666667,2151.073,2363.6465833333336,2814.1356666666666,2708.1437499999997,1510.8356666666666,1003.7230833333333,1210.2936666666667,655.7665833333333,610.8744166666667,564.2471666666667
504.3591666666667,1090.14125,1345.61075,2831.430083333333,2989.4976666666666,2000.5615833333334,1491.1376666666667,1176.0774166666667,932.1785833333333,855.8723333333334,584.80725,575.7748333333333
577.8175,927.0853333333333,1681.0964166666665,2925.3866666666668,2781.030583333333,2739.721833333333,1574.9865833333333,1268.2470833333334,800.2166666666667,996.92175,586.7960833333333,379.97333333333336
387.6405,822.5300000000001,1837.2956666666666,2894.822166666667,2923.402583333333,2793.8063333333334,1483.0350833333332,1116.2356666666667,1117.2762500000001,758.9084166666667,599.96725,378.6393333333333
465.652,783.401,1444.0920833333332,2034.4573333333335,2821.137166666667,2814.9288333333334,1324.97525,1113.5453333333332,1118.503,1002.2725,697.718,421.25174999999996
469.44208333333336,983.7453333333333,2231.2271666666666,2190.0615833333336,2697.174583333333,2883.2760833333336,1297.4312499999999,1092.6245000000001,1061.6511666666668,1062.5556666666666,568.4368333333333,353.15766666666667
358.61175000000003,1311.4385,2501.7145,1982.4626666666666,2901.95925,2666.519333333333,1306.1143333333332,1026.58825,1133.4044166666665,878.8272499999999,547.7776666666667,380.07175
878.6550833333334,1009.0735,1976.8494166666667,2964.292,2285.5675833333335,2764.1674166666667,1193.9286666666667,770.0670833333334,1210.2105,686.2323333333334,436.5615833333334,500.84041666666667
568.4185,1013.7837499999999,1820.9134999999999,2776.4070833333335,2677.0901666666664,2433.525166666667,1068.6589999999999,921.5079999999999,1019.7352500000001,953.86675,436.3978333333334,426.3015833333333
731.3775833333333,851.4428333333334,1922.2135833333332,3061.8944166666665,3215.8351666666663,2438.1991666666668,1013.9766666666668,891.56625,1015.60025,953.5385,419.95208333333335,461.0801666666667
771.0251666666667,804.3114166666666,976.24925,2117.1728333333335,3236.5356666666667,1754.5945000000002,767.5829166666667,1142.6805000000002,1268.2781666666667,953.9007500000001,594.4435,612.3693333333333
513.6575,946.1091666666666,2011.1963333333333,1977.3890833333332,2857.8831666666665,1710.9970833333334,1182.905,1182.3065833333333,1213.2284166666666,780.7755000000001,494.3551666666667,520.2325
472.2411666666667,,1986.9556666666667,2497.2635833333334,2799.513166666666,1051.17225,1307.1099166666665,985.8610833333333,1142.3232500000001,777.6690833333333,607.58225,373.62833333333333
