jday,month,day,hour,u10,v10,mixht,precip,tempc,year,datetime,ws,wd,wd_category_8,wd_category_4,ws_category,mixht_category,tempc_category,total_hours,percentage_wd_8,percentage_wd_4,percentage_ws,percentage_mixht,percentage_tempc
2,Jan,2,12,3.139,-0.963,1881.34,0.0,21.648,2018,2018-01-02 12:30:00,3.2833961076909377,287.05525940285224,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
2,Jan,2,13,3.619,-1.181,1934.103,0.0,21.985,2018,2018-01-02 13:30:00,3.8068257117971664,288.07322582986944,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
2,Jan,2,14,3.746,-1.277,1889.918,0.0,22.03,2018,2018-01-02 14:30:00,3.957681770936112,288.8240871669417,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
2,Jan,2,15,3.661,-1.378,1805.007,0.0,21.756,2018,2018-01-02 15:30:00,3.911752164951149,290.62633203011694,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
2,Jan,2,16,2.647,-1.16,1486.467,0.0,20.72,2018,2018-01-02 16:30:00,2.8900188580699604,293.664568904804,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
2,Jan,2,17,1.841,-0.951,53.699,0.0,15.483,2018,2018-01-02 17:30:00,2.0721201702604026,297.31938759211664,NW,W,2-4,<100,15-20,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,16.10738255033557
2,Jan,2,18,1.871,-1.218,16.182,0.0,13.594,2018,2018-01-02 18:30:00,2.232524355970165,303.0636757110689,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
2,Jan,2,19,1.779,-1.301,16.091,0.0,12.208,2018,2018-01-02 19:30:00,2.203960525962296,306.178367684163,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
2,Jan,2,20,1.678,-1.258,16.026,0.0,11.144,2018,2018-01-02 20:30:00,2.097200038146099,306.8589695934278,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
2,Jan,2,21,1.495,-0.963,15.972,0.0,10.24,2018,2018-01-02 21:30:00,1.7783121210856097,302.7874945971985,NW,W,<2,<100,<15,745,15.570469798657719,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,22,1.351,-0.575,15.919,0.0,9.366,2018,2018-01-02 22:30:00,1.4682731353532283,293.05512078789644,NW,W,<2,<100,<15,745,15.570469798657719,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,23,1.376,-0.304,15.867,0.0,8.508,2018,2018-01-02 23:30:00,1.40918132261253,282.4582464400049,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,3,0,1.645,-0.278,15.819,0.0,7.707,2018,2018-01-03 00:30:00,1.668325208105422,279.59218037439996,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,3,1,1.885,-0.356,15.779,0.0,6.998,2018,2018-01-03 01:30:00,1.9183224442204705,280.6948802540677,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,3,2,2.073,-0.555,15.739,0.0,6.308,2018,2018-01-03 02:30:00,2.1460088536630035,284.9881711960136,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
2,Jan,3,3,2.15,-0.864,15.697,0.0,5.608,2018,2018-01-03 03:30:00,2.3171094061351525,291.89324428431337,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
2,Jan,3,4,2.146,-1.049,15.656,0.0,4.934,2018,2018-01-03 04:30:00,2.388664271093784,296.0501432239025,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
